country,Primary education,Lower secondary education,Upper secondary education,Primary education,Lower secondary education,Upper secondary education,Numeracy_Total,Numeracy_Male,Numeracy_Female,Reading_Total,Reading_Male,Reading_Female,Learning_Poverty_Total,Learning_Poverty_Male,Learning_Poverty_Female
Afghanistan,-,-,55,44,31,27,17,20,13,14,15,13,93,-,-
Albania,11,5,11,97,98,60,-,-,-,-,-,-,10,-,-
Algeria,1,3,13,94,73,46,-,-,-,-,-,-,68,69,66
Andorra,0,2,16,-,-,-,-,-,-,-,-,-,-,-,-
Angola,14,19,81,60,37,19,-,-,-,-,-,-,-,-,-
Anguilla,4,3,13,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,0,0,5,-,-,89,-,-,-,-,-,-,-,-,-
Argentina,1,1,5,96,75,64,-,-,-,-,-,-,59,59,49
Armenia,8,2,4,100,97,78,-,-,-,-,-,-,27,29,25
Australia,0,2,6,100,99,90,-,-,-,-,-,-,9,11,7
Austria,2,2,7,99,98,85,-,-,-,-,-,-,15,-,-
Azerbaijan,2,9,16,98,92,75,73,73,72,67,66,69,38,41,34
Bahamas,29,13,30,-,-,-,-,-,-,-,-,-,-,-,-
Bahrain,7,4,4,-,-,-,-,-,-,-,-,-,30,38,22
Bangladesh,5,16,20,83,65,29,28,27,29,49,45,53,51,54,49
Barbados,9,0,8,98,98,94,-,-,-,-,-,-,-,-,-
Belarus,4,7,10,100,100,90,72,72,73,82,80,85,-,-,-
Belgium,1,1,2,98,95,88,-,-,-,-,-,-,9,10,7
Belize,12,7,27,96,61,45,-,-,-,-,-,-,76,80,73
Benin,5,45,67,52,25,13,17,16,18,14,14,14,56,-,-
Bhutan,5,13,22,68,39,21,-,-,-,-,-,-,-,-,-
Bolivia (Plurinational State of),4,7,19,99,94,82,-,-,-,-,-,-,-,-,-
Bosnia and Herzegovina,16,6,23,100,97,93,-,-,-,-,-,-,-,-,-
Botswana,10,15,29,93,84,54,-,-,-,-,-,-,51,58,44
Brazil,4,4,8,97,90,74,-,-,-,-,-,-,47,-,-
British Virgin Islands,1,13,23,-,-,-,-,-,-,-,-,-,-,-,-
Brunei Darussalam,4,3,27,-,-,-,-,-,-,-,-,-,-,-,-
Bulgaria,5,5,9,99,98,87,-,-,-,-,-,-,18,19,17
Burkina Faso,42,55,76,60,34,16,-,-,-,-,-,-,74,74,74
Burundi,18,33,62,50,25,7,-,-,-,-,-,-,96,96,96
Cabo Verde,11,17,26,-,-,56,-,-,-,-,-,-,-,-,-
Cambodia,4,11,47,82,56,27,-,-,-,-,-,-,90,93,87
Cameroon,4,48,65,74,47,23,-,-,-,-,-,-,72,73,71
Canada,4,1,14,100,100,94,-,-,-,-,-,-,4,5,4
Central African Republic,15,57,83,27,12,6,2,2,1,5,5,5,-,-,-
Chad,24,57,73,27,13,5,7,8,6,4,5,4,94,94,95
Chile,1,1,2,99,99,93,-,-,-,-,-,-,27,28,27
China,-,-,-,98,90,75,-,-,-,-,-,-,18,-,-
Colombia,7,4,13,94,79,75,-,-,-,-,-,-,51,47,44
Comoros,22,33,58,82,60,37,26,23,28,26,23,28,86,-,-
Congo,16,30,42,80,50,23,-,-,-,-,-,-,70,74,66
Cook Islands,1,2,15,-,-,-,-,-,-,-,-,-,-,-,-
Costa Rica,5,5,8,98,89,78,-,-,-,-,-,-,34,34,31
Côte d'Ivoire,4,28,48,65,35,17,-,-,-,-,-,-,80,81,79
Croatia,2,1,6,100,100,97,-,-,-,-,-,-,4,-,-
Cuba,5,7,23,100,94,65,-,-,-,-,-,-,-,-,-
Cyprus,1,0,1,98,95,89,-,-,-,-,-,-,10,11,9
Czechia,0,0,4,-,-,-,-,-,-,-,-,-,14,-,-
Democratic People's Republic of Korea,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Democratic Republic of the Congo,-,-,-,67,54,31,0,0,1,9,9,9,97,96,97
Denmark,1,1,7,99,99,78,-,-,-,-,-,-,5,6,4
Djibouti,-,-,-,81,62,40,-,-,-,-,-,-,-,-,-
Dominica,13,21,27,-,-,77,-,-,-,-,-,-,-,-,-
Dominican Republic,13,15,36,93,89,66,-,-,-,-,-,-,78,82,79
Ecuador,5,14,12,99,93,80,-,-,-,-,-,-,66,-,-
Egypt,0,5,28,94,84,76,-,-,-,-,-,-,56,-,-
El Salvador,14,22,44,91,76,63,-,-,-,-,-,-,69,72,73
Equatorial Guinea,62,49,76,42,18,5,-,-,-,-,-,-,-,-,-
Eritrea,45,42,48,-,-,-,-,-,-,-,-,-,-,-,-
Estonia,2,2,6,100,99,86,-,-,-,-,-,-,-,-,-
Eswatini,10,0,11,80,58,37,29,27,31,49,41,57,-,-,-
Ethiopia,23,51,69,56,28,16,-,-,-,-,-,-,90,-,-
Fiji,2,2,23,98,89,55,45,42,47,67,63,72,-,-,-
Finland,2,2,4,100,100,90,-,-,-,-,-,-,5,6,4
France,0,0,4,99,98,91,-,-,-,-,-,-,7,8,5
Gabon,28,36,47,74,45,22,-,-,-,-,-,-,31,33,28
Gambia,23,25,49,64,49,29,8,7,9,12,11,13,-,-,-
Georgia,2,1,1,100,98,77,-,-,-,-,-,-,14,17,10
Germany,2,1,11,98,92,78,-,-,-,-,-,-,15,-,-
Ghana,11,9,34,71,64,48,16,17,14,21,20,22,-,-,-
Greece,0,1,3,99,98,93,-,-,-,-,-,-,8,10,5
Grenada,18,9,14,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,7,37,63,85,57,26,-,-,-,-,-,-,79,67,68
Guinea,18,53,73,45,26,16,-,-,-,-,-,-,83,81,84
Guinea-Bissau,31,53,71,45,31,19,7,8,7,12,12,13,-,-,-
Guyana,14,25,37,98,83,62,60,54,66,62,57,66,-,-,-
Haiti,-,-,-,53,35,16,-,-,-,-,-,-,-,-,-
Holy See,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,21,42,61,89,57,42,-,-,-,-,-,-,79,77,73
Hungary,4,5,11,99,98,84,-,-,-,-,-,-,9,11,8
Iceland,2,1,17,-,-,-,-,-,-,-,-,-,9,11,7
India,1,15,43,94,86,51,-,-,-,-,-,-,56,57,55
Indonesia,1,4,23,97,86,63,-,-,-,-,-,-,53,55,51
Iran (Islamic Republic of),2,5,19,-,-,-,-,-,-,-,-,-,42,45,38
Iraq,11,33,52,76,46,32,-,-,-,-,-,-,-,-,-
Ireland,1,0,1,-,-,-,-,-,-,-,-,-,2,2,2
Israel,4,3,4,100,99,-,-,-,-,-,-,-,14,-,-
Italy,3,2,5,100,99,85,-,-,-,-,-,-,5,6,5
Jamaica,16,20,17,99,95,87,50,50,50,62,58,67,-,-,-
Japan,0,0,2,-,-,-,-,-,-,-,-,-,4,5,3
Jordan,3,5,17,97,87,57,-,-,-,-,-,-,62,67,58
Kazakhstan,4,2,0,100,97,98,-,-,-,-,-,-,10,13,7
Kenya,17,4,31,90,84,59,-,-,-,-,-,-,79,81,77
Kiribati,12,10,11,94,78,17,22,19,24,35,30,41,-,-,-
Kuwait,3,9,20,-,-,-,-,-,-,-,-,-,51,58,44
Kyrgyzstan,4,7,36,99,99,83,57,57,57,69,67,70,64,-,-
Lao People's Democratic Republic,9,35,64,83,54,31,-,-,-,-,-,-,98,98,97
Latvia,1,1,6,100,99,91,-,-,-,-,-,-,8,11,6
Lebanon,24,32,53,-,-,-,-,-,-,-,-,-,-,-,-
Lesotho,27,29,58,80,44,32,13,11,15,44,34,53,97,-,-
Liberia,38,44,46,31,27,19,-,-,-,-,-,-,-,-,-
Libya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Liechtenstein,1,3,10,-,-,-,-,-,-,-,-,-,-,-,-
Lithuania,0,1,1,100,99,91,-,-,-,-,-,-,3,4,2
Luxembourg,0,2,14,98,97,79,-,-,-,-,-,-,3,4,2
Madagascar,3,37,68,50,23,14,7,6,8,23,21,26,95,-,-
Malawi,2,30,79,49,23,15,13,12,13,19,17,20,-,-,-
Malaysia,2,9,33,-,-,-,-,-,-,-,-,-,42,50,34
Maldives,10,1,34,98,91,40,-,-,-,-,-,-,-,-,-
Mali,33,55,76,46,17,8,-,-,-,-,-,-,90,91,90
Malta,7,2,10,-,-,-,-,-,-,-,-,-,10,11,9
Marshall Islands,2,2,23,-,-,-,-,-,-,-,-,-,-,-,-
Mauritania,31,33,62,58,37,15,-,-,-,-,-,-,95,-,-
Mauritius,2,9,25,-,-,69,-,-,-,-,-,-,40,-,-
Mexico,0,8,31,98,91,64,-,-,-,-,-,-,48,46,40
Micronesia (Federated States of),16,17,38,-,-,-,-,-,-,-,-,-,-,-,-
Monaco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolia,5,4,12,99,95,77,46,44,48,63,63,64,39,41,38
Montenegro,0,0,13,97,95,86,-,-,-,-,-,-,16,-,-
Montserrat,0,7,12,-,-,-,-,-,-,-,-,-,-,-,-
Morocco,1,2,21,69,38,15,-,-,-,-,-,-,60,66,53
Mozambique,1,41,58,54,28,18,-,-,-,-,-,-,-,-,-
Myanmar,2,12,37,83,45,17,-,-,-,-,-,-,89,-,-
Namibia,0,0,12,87,76,30,-,-,-,-,-,-,-,-,-
Nauru,4,10,31,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,4,6,20,86,78,36,37,38,36,39,38,40,-,-,-
Netherlands (Kingdom of the),0,0,5,-,-,-,-,-,-,-,-,-,4,6,3
New Zealand,3,2,7,-,-,-,-,-,-,-,-,-,11,13,9
Nicaragua,10,17,37,75,51,41,-,-,-,-,-,-,79,75,66
Niger,38,72,88,26,5,2,-,-,-,-,-,-,90,91,100
Nigeria,36,-,-,73,68,54,25,25,25,27,25,28,-,-,-
Niue,13,8,17,-,-,-,-,-,-,-,-,-,-,-,-
North Macedonia,3,4,30,98,94,83,41,47,35,64,58,70,33,37,29
Norway,1,0,6,100,100,81,-,-,-,-,-,-,4,6,3
Oman,4,8,23,-,-,-,-,-,-,-,-,-,41,-,-
Pakistan,25,28,48,60,50,23,8,9,7,27,27,26,80,79,80
Palau,13,6,17,-,-,-,-,-,-,-,-,-,-,-,-
Panama,10,12,32,97,89,74,-,-,-,-,-,-,79,72,66
Papua New Guinea,1,31,57,61,50,17,-,-,-,-,-,-,-,-,-
Paraguay,12,17,28,96,87,73,-,-,-,-,-,-,78,77,73
Peru,0,1,13,98,94,89,-,-,-,-,-,-,44,56,53
Philippines,10,9,20,96,84,67,-,-,-,-,-,-,91,92,90
Poland,0,0,0,98,94,94,-,-,-,-,-,-,6,6,5
Portugal,0,0,1,99,99,90,-,-,-,-,-,-,8,9,7
Qatar,8,5,13,99,96,83,-,-,-,-,-,-,21,25,17
Republic of Korea,1,0,4,100,100,98,-,-,-,-,-,-,3,3,3
Republic of Moldova,26,21,60,99,97,65,-,-,-,-,-,-,11,-,-
Romania,16,16,25,98,96,84,-,-,-,-,-,-,18,20,16
Russian Federation,5,0,45,100,100,90,-,-,-,-,-,-,4,-,-
Rwanda,0,5,38,63,30,21,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,1,13,5,-,-,-,-,-,-,-,-,-,-,-,-
Saint Lucia,7,13,20,100,94,83,-,-,-,-,-,-,-,-,-
Saint Vincent and the Grenadines,1,2,3,-,-,-,-,-,-,-,-,-,-,-,-
Samoa,3,1,23,98,97,57,23,19,28,52,46,59,-,-,-
San Marino,7,9,60,-,-,-,-,-,-,-,-,-,-,-,-
Sao Tome and Principe,6,7,27,87,60,32,36,36,37,38,35,42,-,-,-
Saudi Arabia,3,1,7,-,-,-,-,-,-,-,-,-,32,40,27
Senegal,27,65,82,47,30,11,-,-,-,-,-,-,69,72,65
Serbia,2,0,12,100,98,83,-,-,-,-,-,-,9,10,8
Seychelles,3,2,18,-,-,-,-,-,-,-,-,-,-,-,-
Sierra Leone,2,18,30,69,47,20,2,2,1,16,17,15,-,-,-
Singapore,1,0,2,-,-,-,-,-,-,-,-,-,3,5,2
Slovakia,3,3,9,-,-,-,-,-,-,-,-,-,22,24,21
Slovenia,1,1,3,100,99,95,-,-,-,-,-,-,7,-,-
Solomon Islands,29,18,31,-,-,-,-,-,-,-,-,-,-,-,-
Somalia,-,-,-,50,48,9,-,-,-,-,-,-,-,-,-
South Africa,12,1,9,98,94,63,-,-,-,-,-,-,82,87,77
South Sudan,63,58,62,25,15,6,-,-,-,-,-,-,-,-,-
Spain,2,2,6,99,97,76,-,-,-,-,-,-,7,8,7
