country,adolescent_population_thousands,adolescent_proportion_of_total_population,thinness_2022,overweight_2022,intimate_partner_violence_percent_2015_2022,bullying_percent_2011_2019_male,bullying_percent_2011_2019_female,math_proficiency_male,math_proficiency_female,reading_proficiency_male,reading_proficiency_female,neet_male,neet_female,unemployment_male,unemployment_female,household_chores_male,household_chores_female
Afghanistan,9761,24,8,23,29,42,45,-,-,-,-,20,57,9,9,12,21
Albania,351,12,3,21,-,17,19,56,59,38,58,21,17,29,26,1,3
Algeria,7171,16,4,32,-,48,55,18,21,15,28,-,-,32,38,1,1
Andorra,8,11,3,27,-,-,-,-,-,-,-,-,-,-,-,-,-
Angola,7909,23,7,12,24,-,-,-,-,-,-,17,18,25,21,15,19
Anguilla,2,14,-,-,-,22,30,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,13,14,3,44,-,24,27,-,-,-,-,-,-,-,-,-,-
Argentina,7120,16,2,39,-,25,24,35,27,45,51,12,12,24,30,0,1
Armenia,360,13,4,22,0,19,15,48,52,-,-,26,5,-,42,0,1
Australia,3133,12,2,36,-,-,-,78,77,76,85,6,4,14,11,-,-
Austria,860,10,2,29,-,20,21,79,78,71,82,12,9,14,16,-,-
Azerbaijan,1492,15,5,24,12,25,27,-,-,-,-,-,-,12,15,-,-
Bahamas,56,14,4,49,-,25,22,-,-,-,-,-,-,20,26,-,-
Bahrain,184,12,5,44,-,36,23,36,43,-,-,-,-,10,21,-,-
Bangladesh,33930,20,15,9,28,27,17,-,-,-,-,10,30,15,8,0,4
Barbados,36,13,5,42,-,15,11,-,-,-,-,26,23,50,29,0,0
Belarus,964,10,3,19,-,-,-,71,70,72,82,10,10,31,31,0,0
Belgium,1325,11,3,22,-,16,18,82,79,75,82,-,-,24,20,-,-
Belize,76,19,3,43,-,30,31,-,-,-,-,20,32,15,34,1,3
Benin,3049,23,7,13,10,47,52,-,-,-,-,32,38,3,2,7,14
Bhutan,137,18,5,18,-,31,29,-,-,-,-,6,9,30,44,2,5
Bolivia (Plurinational State of),2349,20,1,37,-,32,28,-,-,-,-,5,8,4,3,-,-
Bosnia and Herzegovina,331,10,4,28,-,-,-,-,-,38,55,8,6,46,27,-,-
Botswana,496,21,11,15,-,53,52,-,-,-,-,28,26,45,74,-,-
Brazil,30156,14,3,32,-,45,35,34,30,44,56,12,17,23,32,1,1
British Virgin Islands,5,13,-,-,-,18,17,-,-,-,-,-,-,-,-,-,-
Brunei Darussalam,65,14,4,42,-,25,22,50,54,42,55,16,17,32,39,-,-
Bulgaria,665,10,4,27,-,35,33,55,56,45,62,-,-,-,-,-,-
Burkina Faso,5314,24,13,7,7,-,-,-,-,-,-,31,44,9,10,21,36
Burundi,3174,24,9,7,38,-,-,-,-,-,-,13,11,2,1,21,30
Cabo Verde,95,18,10,12,-,-,-,-,-,-,-,-,-,27,47,-,-
Cambodia,3224,19,8,13,4,23,22,11,9,6,9,4,6,-,-,2,6
Cameroon,6198,23,5,17,20,-,-,-,-,-,-,9,18,4,4,8,22
Canada,4181,11,2,29,-,36,40,84,84,82,90,11,10,14,14,-,-
Central African Republic,1360,27,9,14,32,-,-,-,-,-,-,-,-,-,-,17,23
Chad,4269,24,11,10,15,-,-,-,-,-,-,27,44,3,-,20,40
Chile,2450,13,1,55,-,16,14,32,24,64,73,8,10,27,35,8,10
China,165717,12,4,21,-,-,-,-,-,-,-,-,-,-,-,-,-
Colombia,7969,16,2,27,-,-,-,40,30,48,52,17,25,18,30,1,2
Comoros,178,22,7,13,1,-,-,-,-,-,-,18,16,7,-,4,11
Congo,1338,23,9,11,-,-,-,-,-,-,-,-,-,-,-,8,9
Cook Islands,3,17,1,68,6,29,32,-,-,-,-,-,-,26,24,-,-
Costa Rica,725,14,3,34,-,18,20,45,35,55,61,15,15,34,46,1,1
Côte d'Ivoire,6663,22,8,15,15,-,-,-,-,-,-,11,23,3,3,4,11
Croatia,402,10,2,25,-,23,21,70,68,72,85,-,-,33,46,-,-
Cuba,1234,11,6,34,-,-,-,-,-,-,-,-,-,5,13,-,-
Cyprus,132,10,3,32,-,-,-,-,-,46,67,9,11,41,30,-,-
Czechia,1078,10,3,14,-,17,19,79,80,74,85,4,4,29,20,-,-
Democratic People's Republic of Korea,3354,13,10,20,-,-,-,-,-,-,-,-,-,-,-,-,-
Democratic Republic of the Congo,22681,23,7,14,36,-,-,-,-,-,-,25,30,-,-,7,17
Denmark,678,12,3,18,-,12,15,85,86,79,89,-,-,14,15,-,-
Djibouti,231,21,8,10,-,44,36,-,-,-,-,17,24,88,85,-,-
Dominica,9,13,4,37,-,29,26,-,-,-,-,-,-,-,-,-,-
Dominican Republic,1990,18,5,33,8,26,22,10,9,16,26,27,30,13,19,1,2
Ecuador,3181,18,3,32,10,-,-,34,24,47,52,11,20,5,8,-,-
Egypt,21404,19,3,40,18,70,70,20,23,-,-,7,20,11,42,2,3
El Salvador,1149,18,3,27,7,21,24,-,-,-,-,12,25,7,13,5,13
Equatorial Guinea,352,20,9,14,56,-,-,-,-,-,-,-,-,-,-,-,-
Eritrea,842,25,14,10,-,-,-,-,-,-,-,-,-,-,-,-,-
Estonia,143,11,2,28,-,30,30,90,90,86,92,8,6,-,-,-,-
Eswatini,260,22,4,19,28,33,31,-,-,-,-,16,23,43,53,4,5
Ethiopia,28870,24,18,5,24,-,-,-,-,-,-,9,18,3,6,14,21
Fiji,163,18,4,34,47,33,26,-,-,-,-,8,13,16,32,3,2
Finland,614,11,2,31,-,28,24,83,87,80,93,-,-,24,21,-,-
France,8139,12,4,16,-,13,16,79,79,75,84,7,5,23,28,-,-
Gabon,470,20,6,17,41,-,-,-,-,-,-,-,-,27,38,10,14
Gambia,604,23,11,12,14,-,-,-,-,-,-,36,28,7,5,3,17
Georgia,463,12,3,25,-,18,20,38,40,28,44,17,14,31,32,0,0
Germany,7607,9,2,26,-,21,21,79,79,76,84,-,-,9,8,-,-
Ghana,6997,22,8,14,25,-,-,-,-,-,-,17,21,3,3,13,19
Greece,1089,10,1,32,-,18,21,63,65,61,78,5,4,31,46,-,-
Grenada,17,15,5,37,-,29,26,-,-,-,-,20,17,34,-,-,-
Guatemala,3802,22,2,24,9,26,20,12,10,28,33,12,37,4,5,-,-
Guinea,3182,23,9,12,-,-,-,-,-,-,-,27,40,-,-,11,18
Guinea-Bissau,476,23,8,12,-,-,-,-,-,-,-,13,22,-,-,4,9
Guyana,148,18,8,28,-,40,37,-,-,-,-,40,49,29,45,4,2
Haiti,2340,21,4,25,28,-,-,-,-,-,-,8,17,-,-,19,13
Holy See,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,2135,21,3,31,8,13,12,19,12,28,31,13,36,9,21,4,12
Hungary,973,10,3,32,-,27,28,69,65,70,79,6,6,25,35,-,-
Iceland,47,13,2,24,-,12,11,77,82,66,81,-,-,16,11,-,-
India,257361,18,21,10,18,-,-,-,-,-,-,8,21,14,7,-,-
Indonesia,46387,17,9,21,-,24,19,26,30,24,36,14,15,17,17,-,-
Iran (Islamic Republic of),12434,14,9,31,-,-,-,-,-,-,-,13,23,17,17,-,-
Iraq,9544,22,4,40,-,32,22,-,-,-,-,17,38,36,52,1,6
Ireland,686,14,2,25,-,32,32,84,84,85,91,-,-,-,16,-,-
Israel,1483,17,3,23,-,29,18,63,69,60,77,-,-,14,14,-,-
Italy,5686,10,2,24,-,11,12,64,61,72,81,-,-,33,39,-,-
Jamaica,450,16,3,35,11,26,25,-,-,-,-,21,21,11,20,-,-
Japan,11313,9,3,15,-,-,-,-,-,-,-,-,-,4,2,-,-
Jordan,2249,20,3,40,15,47,37,40,41,46,71,22,21,50,26,0,2
Kazakhstan,3095,16,6,19,-,15,16,51,51,29,43,-,-,5,9,-,-
Kenya,12807,24,10,9,25,57,57,-,-,-,-,8,13,6,9,-,-
Kiribati,25,19,1,48,67,42,32,-,-,-,-,37,30,23,40,17,19
Kuwait,540,12,3,52,-,36,28,20,16,-,-,-,-,-,-,-,-
Kyrgyzstan,1214,18,3,12,3,-,-,-,-,-,-,8,9,7,9,5,11
Lao People's Democratic Republic,1473,20,7,15,14,15,11,-,-,-,-,18,20,2,2,5,11
Latvia,193,10,2,19,-,44,49,83,83,71,84,-,-,24,-,-,-
Lebanon,1056,18,2,42,-,24,12,36,34,28,36,15,20,28,29,-,-
Lesotho,488,22,6,13,-,-,-,-,-,-,-,22,30,10,35,11,16
Liberia,1254,24,7,16,58,43,51,-,-,-,-,37,36,-,-,18,21
Libya,1339,19,5,36,-,40,31,-,-,-,-,-,-,-,-,-,-
Liechtenstein,4,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lithuania,266,10,3,17,-,51,51,73,76,68,83,-,-,24,-,-,-
Luxembourg,67,11,2,21,-,21,23,74,72,66,76,-,-,-,35,-,-
Madagascar,6796,23,8,6,19,-,-,-,-,-,-,3,3,7,5,17,26
Malawi,5018,25,4,8,28,43,47,-,-,-,-,10,16,-,-,5,12
Malaysia,5659,17,8,33,-,19,14,56,60,47,61,-,-,15,14,-,-
Maldives,67,13,13,30,4,30,30,-,-,-,-,30,26,29,16,-,-
Mali,5496,25,11,15,21,-,-,-,-,-,-,16,36,1,5,2,8
Malta,45,9,3,25,-,29,22,61,63,55,74,17,16,-,-,-,-
Marshall Islands,10,24,2,40,27,-,-,-,-,-,-,36,33,28,31,-,-
Mauritania,1105,23,11,21,8,48,46,-,-,-,-,29,44,18,23,13,23
Mauritius,172,13,10,29,-,29,22,-,-,-,-,15,18,23,36,-,-
Mexico,22450,18,2,40,9,-,-,47,41,52,58,9,19,5,7,2,3
Micronesia (Federated States of),24,21,1,46,35,-,-,-,-,-,-,18,23,-,29,-,-
Monaco,3,8,-,-,-,-,-,-,-,-,-,-,-,56,42,-,-
Mongolia,541,16,4,17,8,36,25,-,-,-,-,8,7,17,23,18,14
Montenegro,76,13,2,24,-,-,-,55,52,48,63,12,10,30,-,0,0
Montserrat,1,12,-,-,-,32,25,-,-,-,-,-,-,-,-,-,-
Morocco,6353,17,4,22,-,44,32,14,15,22,32,-,-,17,11,-,-
Mozambique,7548,24,5,9,10,45,46,-,-,-,-,-,-,7,5,-,-
Myanmar,8926,17,12,15,22,51,49,-,-,-,-,9,12,6,6,-,-
Namibia,562,20,10,13,52,48,45,-,-,-,-,17,20,37,39,-,-
Nauru,2,21,1,63,-,40,38,-,-,-,-,45,49,21,31,-,-
Nepal,6062,21,11,9,21,56,45,-,-,-,-,16,30,22,24,7,17
Netherlands (Kingdom of the),1991,11,2,17,-,12,12,84,85,71,81,-,-,10,11,-,-
New Zealand,651,13,1,40,-,-,-,79,78,77,86,-,-,17,16,-,-
Nicaragua,1298,20,2,32,-,-,-,-,-,-,-,7,32,6,11,-,-
Niger,6046,25,18,9,-,-,-,-,-,-,-,12,35,-,-,18,25
Nigeria,51842,24,16,9,13,-,-,-,-,-,-,8,16,4,7,17,19
Niue,0,17,1,68,-,38,-,-,-,-,-,-,-,-,-,-,-
North Macedonia,213,11,4,25,-,19,18,37,41,34,57,11,8,37,55,1,1
Norway,646,12,2,23,-,16,14,79,83,74,88,-,-,18,15,-,-
Oman,589,13,6,39,-,45,39,20,27,-,-,-,-,57,26,-,-
Pakistan,53575,22,18,19,17,45,35,-,-,-,-,14,46,10,8,-,-
Palau,2,13,2,51,8,-,-,-,-,-,-,11,10,-,-,-,-
Panama,730,17,2,37,-,-,-,21,17,33,39,8,14,15,21,0,1
Papua New Guinea,2086,21,2,41,60,-,-,-,-,-,-,26,30,3,-,-,-
Paraguay,1185,18,2,31,-,19,15,11,6,30,34,11,23,13,21,4,9
Peru,5706,17,1,39,18,47,48,-,-,-,-,21,24,7,8,3,5
Philippines,22603,20,11,15,10,42,42,-,-,15,23,6,6,4,6,-,-
Poland,3852,10,3,22,-,23,18,85,86,80,90,-,-,18,27,-,-
Portugal,1030,10,2,18,-,17,19,77,77,76,84,-,-,39,-,-,-
Qatar,222,8,6,48,-,49,35,36,37,36,62,-,-,0,0,-,-
Republic of Korea,4681,9,2,32,-,-,-,84,86,81,89,-,-,8,6,-,-
Republic of Moldova,358,12,3,17,15,43,44,49,50,49,66,6,4,-,-,-,-
Romania,2120,11,5,20,-,31,30,54,53,52,67,-,-,44,40,-,-
Russian Federation,15707,11,3,16,-,31,35,78,78,73,83,-,-,18,21,-,-
Rwanda,3112,23,6,10,-,-,-,-,-,-,-,25,23,21,17,0,0
Saint Kitts and Nevis,6,13,4,42,-,25,20,-,-,-,-,-,-,-,-,-,-
Saint Lucia,25,14,4,37,-,24,29,-,-,-,-,29,22,62,54,3,1
Saint Vincent and the Grenadines,15,15,3,36,-,31,29,-,-,-,-,-,-,-,-,-,-
Samoa,45,21,1,54,-,43,34,-,-,-,-,17,19,-,37,3,2
San Marino,4,10,-,-,-,-,-,-,-,-,-,-,-,13,20,-,-
Sao Tome and Principe,53,24,5,14,28,-,-,-,-,-,-,-,-,9,9,4,11
Saudi Arabia,4651,15,8,46,-,-,-,12,11,34,62,-,-,27,44,-,-
Senegal,4034,23,18,8,3,-,-,8,7,8,9,21,37,2,4,6,23
Serbia,681,10,2,29,-,18,19,60,61,55,70,8,7,34,30,1,2
Seychelles,15,13,6,34,-,45,50,-,-,-,-,31,23,16,-,-,-
Sierra Leone,1879,23,4,11,43,60,57,-,-,-,-,24,28,-,-,12,20
Singapore,608,11,3,35,-,-,-,92,95,86,92,5,3,-,13,-,-
Slovakia,550,10,4,24,-,20,19,75,75,62,75,7,5,52,67,-,-
Slovenia,207,10,2,28,-,26,23,83,84,75,89,7,6,16,15,-,-
Solomon Islands,167,22,2,28,-,64,68,-,-,-,-,5,6,-,-,6,9
Somalia,4048,23,8,10,-,-,-,-,-,-,-,34,40,40,37,-,-
