country,education_expenditure
Afghanistan,8.2
Albania,9.8
Algeria,13.3
Andorra,7.0
Angola,7.7
Anguilla,-
Antigua and Barbuda,9.8
Argentina,12.3
Armenia,9.7
Australia,13.9
Austria,9.0
Azerbaijan,10.8
Bahamas,11.6
Bahrain,9.3
Bangladesh,12.0
Barbados,13.6
Belarus,12.8
Belgium,11.3
Belize,18.9
Benin,19.0
Bhutan,17.8
Bolivia (Plurinational State of),23.1
Bosnia and Herzegovina,-
Botswana,21.5
Brazil,11.6
British Virgin Islands,11.1
Brunei Darussalam,11.4
Bulgaria,10.6
Burkina Faso,20.3
Burundi,20.6
Cabo Verde,15.1
Cambodia,15.7
Cameroon,13.1
Canada,11.1
Central African Republic,10.0
Chad,16.5
Chile,19.4
China,10.5
Colombia,11.6
Comoros,10.5
Congo,15.7
Cook Islands,-
Costa Rica,20.1
Côte d'Ivoire,12.8
Croatia,10.7
Cuba,17.0
Cyprus,12.7
Czechia,10.9
Democratic People's Republic of Korea,-
Democratic Republic of the Congo,18.4
Denmark,11.9
Djibouti,14.0
Dominica,7.1
Dominican Republic,22.0
Ecuador,9.3
Egypt,12.0
El Salvador,12.0
Equatorial Guinea,-
Eritrea,-
Estonia,14.3
Eswatini,16.6
Ethiopia,23.0
Fiji,14.5
Finland,10.2
France,8.9
Gabon,13.6
Gambia,17.5
Georgia,12.2
Germany,9.2
Ghana,12.0
Greece,7.1
Grenada,14.4
Guatemala,19.6
Guinea,10.0
Guinea-Bissau,-
Guyana,16.1
Haiti,11.2
Holy See,-
Honduras,23.2
Hungary,10.4
Iceland,14.9
India,14.6
Indonesia,13.9
Iran (Islamic Republic of),21.9
Iraq,-
Ireland,12.0
Israel,18.4
Italy,7.4
Jamaica,16.9
Japan,7.4
Jordan,9.6
Kazakhstan,24.1
Kenya,17.9
Kiribati,15.4
Kuwait,-
Kyrgyzstan,21.0
Lao People's Democratic Republic,9.1
Latvia,12.7
Lebanon,9.9
Lesotho,11.3
Liberia,12.4
Libya,-
Liechtenstein,-
Lithuania,12.7
Luxembourg,10.7
Madagascar,14.1
Malawi,15.8
Malaysia,20.1
Maldives,10.9
Mali,19.1
Malta,12.7
Marshall Islands,11.3
Mauritania,10.4
Mauritius,12.2
Mexico,16.2
Micronesia (Federated States of),18.6
Monaco,4.8
Mongolia,10.0
Montenegro,-
Montserrat,-
Morocco,23.9
Mozambique,18.8
Myanmar,9.8
Namibia,25.0
Nauru,9.6
Nepal,12.8
Netherlands (Kingdom of the),11.0
New Zealand,13.1
Nicaragua,22.7
Niger,12.8
Nigeria,-
Niue,-
North Macedonia,-
Norway,10.1
Oman,14.1
Pakistan,7.8
Palau,-
Panama,11.9
Papua New Guinea,9.2
Paraguay,24.1
Peru,17.9
Philippines,15.7
Poland,11.2
Portugal,9.7
Qatar,9.3
Republic of Korea,14.3
Republic of Moldova,15.8
Romania,8.1
Russian Federation,8.9
Rwanda,12.2
Saint Kitts and Nevis,6.2
Saint Lucia,16.3
Saint Vincent and the Grenadines,12.9
Samoa,16.2
San Marino,7.9
Sao Tome and Principe,18.3
Saudi Arabia,-
Senegal,22.5
Serbia,7.1
Seychelles,6.7
Sierra Leone,29.4
Singapore,13.1
Slovakia,9.4
Slovenia,11.5
Solomon Islands,-
Somalia,4.2
South Africa,18.5
South Sudan,8.1
Spain,9.2
Sri Lanka,8.7
State of Palestine,-
Sudan,-
Suriname,13.9
Sweden,13.5
Switzerland,14.6
Syrian Arab Republic,-
Tajikistan,20.4
Thailand,11.9
Timor-Leste,7.5
Togo,14.8
Tokelau,-
Tonga,9.8
Trinidad and Tobago,7.9
Tunisia,22.7
Türkiye,8.8
Turkmenistan,28.6
Turks and Caicos Islands,14.3
Tuvalu,-
Uganda,8.6
Ukraine,8.5
United Arab Emirates,14.8
United Kingdom,11.2
United Republic of Tanzania,13.7
United States,12.7
Uruguay,15.4
Uzbekistan,21.4
Vanuatu,5.0
Venezuela (Bolivarian Republic of),16.6
Viet Nam,15.4
Yemen,-
Zambia,13.9
Zimbabwe,15.7
